Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773198776	298	98850	105308	0	433672	15685	0	135	0	118033414	97307	2730391	10849	0	0	2	2
1773198778	300	98850	105308	0	433672	15685	0	135	0	118033532	97308	2730771	10851	0	0	2	2
1773198780	302	98850	105308	0	433672	15685	0	135	0	121485458	100105	2751625	11015	0	0	2	2
1773198782	304	98850	105308	0	433672	15685	0	135	0	121542006	100154	2752211	11018	0	0	2	2
1773198784	306	98850	105308	0	433672	15685	0	135	0	121542124	100155	2752591	11020	0	0	2	2
1773198786	308	98850	105308	0	433672	15685	0	135	0	121598862	100204	2753288	11024	0	0	2	2
1773198788	310	98850	105308	0	433672	15685	0	135	0	121655199	100252	2754474	11031	0	0	2	2
1773198790	312	98850	105308	0	433672	15685	0	135	0	126829400	104426	2778379	11244	0	0	2	2
1773198792	314	98850	105308	0	433672	15685	0	135	0	126886890	104475	2779295	11250	0	0	2	2
1773198794	316	98850	105308	0	433672	15685	0	135	0	126944239	104524	2780613	11259	0	0	2	2
1773198796	318	98850	105308	0	433672	15685	0	135	0	126944842	104533	2782648	11277	0	0	2	2
1773198798	320	98850	105308	0	433672	15685	0	135	0	127002128	104595	2784816	11295	0	0	2	2
1773198800	322	98850	105308	0	433672	15685	0	135	0	129082368	106276	2797381	11403	0	0	2	2
1773198802	324	98850	105308	0	433672	15685	0	135	0	130467948	107401	2804525	11469	0	0	2	2
1773198804	326	98850	105308	0	433672	15685	0	135	0	130525182	107454	2806261	11481	0	0	2	2
1773198806	328	98850	105308	0	433672	15685	0	135	0	130582067	107505	2807026	11486	0	0	2	2
1773198808	330	98850	105308	0	433672	15685	0	135	0	130582109	107506	2807088	11487	0	0	2	2
1773198810	332	98850	105308	0	433672	15685	0	135	0	130639033	107555	2807786	11491	0	0	2	2
1773198812	334	98850	105308	0	433672	15685	0	135	0	135325696	111336	2829950	11687	0	0	2	2
1773198814	336	98850	105308	0	433672	15685	0	135	0	135326154	111341	2831303	11696	0	0	2	2
1773198816	338	98850	105308	0	433672	15685	0	135	0	135383273	111390	2832743	11707	0	0	2	2
1773198818	340	98850	105308	0	433672	15685	0	135	0	135440315	111440	2833927	11714	0	0	2	2
1773198820	342	98850	105308	0	433672	15685	0	135	0	135440401	111441	2834260	11717	0	0	2	2
1773198822	344	98850	105308	0	433672	15685	0	135	0	138458843	113891	2850223	11859	0	0	2	2
1773198824	346	98850	105308	0	433672	15685	0	135	0	138515945	113945	2851652	11870	0	0	2	2
1773198826	348	98850	105308	0	433672	15685	0	135	0	138516063	113946	2852032	11872	0	0	2	2
1773198828	350	98850	105308	0	433672	15685	0	135	0	138572163	113994	2852730	11876	0	0	2	2
1773198830	352	98850	105308	0	433672	15685	0	135	0	138628763	114043	2853727	11882	0	0	2	2
1773198832	354	98850	105308	0	433672	15685	0	135	0	143754670	118181	2879147	12108	0	0	2	2
1773198834	356	98850	105308	0	433672	15685	0	135	0	143810958	118229	2879842	12112	0	0	2	2
1773198836	358	98850	105308	0	433672	15685	0	135	0	143867891	118280	2881226	12121	0	0	2	2
1773198838	360	98850	105308	0	433672	15685	0	135	0	143872993	118292	2881288	12122	0	0	2	2
1773198840	362	98850	105308	0	433672	15685	0	135	0	143930671	118341	2881985	12126	0	0	2	2
1773198842	364	98850	105308	0	433672	15685	0	135	0	148514969	122045	2901701	12302	0	0	2	2
1773198844	366	98850	105308	0	433672	15685	0	135	0	148515087	122046	2902081	12304	0	0	2	2
1773198846	368	98850	105308	0	433672	15685	0	135	0	148571817	122096	2903409	12312	0	0	2	2
1773198848	370	98850	105308	0	433672	15685	0	135	0	148628863	122144	2904216	12317	0	0	2	2
1773198850	372	98850	105308	0	433672	15685	0	135	0	148628863	122144	2904216	12317	0	0	2	2
1773198852	374	98850	105308	0	433672	15685	0	135	0	151200236	124220	2918244	12441	0	0	2	2
